Gene_ID,L15,S15,R15,L20,S20,R20,L25,S25,R25,L30,S30,R30,Bd,Flwr,YSe,MSe
AhKP_05694,0,6.672707799,248.703948,3.914936427,13.86102234,646.9083097,4.64734631,6.537570257,452.7136566,0,0,448.4769889,0,0,4.123582363,2.001429329
AhKP_05693,70.87660845,28.91506713,53.29370314,35.23442784,24.10612581,25.91620347,67.38652149,20.2664678,36.03231144,96.45036699,47.61858544,51.64676694,30.83569648,165.9723968,61.02901897,135.596837
AhKP_05692,912.8048057,1255.95189,1810.08256,996.3513206,1392.731418,1838.056892,1210.633714,1314.051622,1864.441141,1119.272863,1465.291901,1837.709644,1769.626359,1003.494645,1994.164431,1763.759596
AhKP_05691,1619.423114,1028.338413,798.7710983,2518.282856,1223.988538,1028.673922,2172.6344,1178.723917,1017.219869,2155.553551,1257.130656,1231.023572,725.2098987,278.3229423,784.3053655,776.5545796
AhKP_05696,21.47776014,70.43413788,65.98268008,20.55341624,72.31837742,90.70671214,9.29469262,64.06818852,60.97775782,20.18728611,36.73433734,47.72422768,202.7161528,25.53421489,135.2535015,118.0843304
AhKP_05695,161.083201,473.7622538,516.4413614,69.49012157,301.3265726,583.1145781,25.5604047,271.9629227,531.2456174,78.50611266,372.7854975,504.0462951,424.8473737,0,166.5927275,202.6447196
AhKP_05697,173.9698571,188.3186423,196.6791426,209.4490988,206.1073756,195.3683031,188.2175256,202.664678,194.0201385,188.4146704,176.8690316,171.937971,301.5045878,865.6098848,245.7655088,269.1922447
AhKP_05698,64.43328041,300.271851,590.6718765,61.66024872,382.082094,646.9083097,72.0338678,492.9327974,693.8529716,65.04792192,638.0890449,857.7285852,582.4520446,324.2845291,525.3443931,624.4459506
AhKP_05701,365.1219223,117.1430925,90.72618511,677.2840018,257.9355461,44.85496754,408.9664753,243.8513706,53.58651445,446.3633263,318.364257,37.91787953,79.94439828,5.106842978,64.32788486,140.100053
AhKP_05700,2540.819024,916.3852045,582.4240415,1958.446947,790.6809264,501.3788594,1877.527909,810.6587119,493.3654951,1619.468953,655.7759481,397.4839785,845.6975275,970.3001659,720.8021971,563.4023561
AhKP_05699,10.73888007,149.7652195,315.9555258,17.61721392,122.3385885,78.74538746,11.61836577,100.0248249,116.4120831,20.18728611,329.2485051,137.9426307,1023.859329,35.74790085,500.6028989,845.1035342
AhKP_05702,0,7.414119777,10.15118155,8.80860696,0,3.987108226,4.64734631,2.615028103,11.08686506,13.45819074,0,13.07513087,89.08090094,0,14.02018003,8.005717316
AhKP_05704,758.1649328,564.955927,225.8637895,735.0293141,667.7396848,170.4488767,824.90397,806.7361697,148.7487729,809.7344763,659.8575412,144.4801961,428.2735622,211.9339836,858.529848,467.8341056
AhKP_05703,1896.48622,1733.421204,1528.387272,1413.29205,1390.923459,1606.804615,1619.600189,1391.194951,1505.965837,1274.042057,1265.293842,1568.361948,856.5471244,1258.836794,930.2801811,889.1349794
AhKP_05706,461.7718429,762.1715131,788.6199168,501.1118626,738.2501028,836.2959504,597.1840008,804.1211416,904.5034077,841.1369214,1163.254016,1023.782747,625.8504322,1544.820001,910.4869858,761.5438597
