Gene_ID	L15	S15	R15	L20	S20	R20	L25	S25	R25	L30	S30	R30	Bd	Flwr	YSe	MSe
g2228	38	187	186	76	158	94	31	134	105	17	19	77	128	19	79	123
g2229	352	1351	1229	527	1319	880	252	1228	837	274	692	1515	836	349	517	843
g2230	17	38	51	35	36	25	28	55	35	4	11	34	171	51	36	101
g2231	809	2041	2004	1633	2111	1140	790	2087	1104	736	861	1582	6182	2691	2272	4163
g2232	45	46	75	63	53	15	54	52	34	24	15	47	251	66	107	171
g2233	0	0	0	0	2	2	0	0	3	0	1	0	0	0	0	0
g2234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g2235	2	4	2	5	2	0	3	4	1	3	4	8	10	8	10	2
g2236	0	8	6	0	2	4	0	0	3	0	0	2	6	0	2	4
g2237	0	0	0	3	2	0	2	2	5	2	0	0	14	2	6	7
g2238	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0
g2239	0	2	12	0	4	12	0	2	3	0	4	10	0	0	0	0
g2240	0	2	6	0	2	6	0	0	0	0	0	0	0	0	0	0
g2241	4	11	23	5	27	33	4	24	23	9	24	41	44	51	24	66
g2242	2894	9349	10966	9939	13423	7972	5113	12256	8714	5584	7089	13269	8002	3336	9829	13082
g2243	17	63	80	23	42	40	3	34	26	0	2	3	181	26	57	96
g2244	241	861	855	321	783	385	127	754	473	78	141	500	1787	232	916	1271
g2245	108	507	635	170	613	413	71	510	427	174	511	1029	614	289	433	702
g2246	100	324	478	205	400	255	92	339	347	75	254	582	739	200	504	824
g2247	106	394	463	248	493	321	82	373	394	41	61	196	388	0	202	340
g2248	2	0	2	0	0	2	0	4	15	0	0	1	2	0	2	19
g2249	0	0	2	0	0	0	0	0	1	0	0	2	2	0	1	1
g2250	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	11
g2251	55	322	783	389	616	602	138	344	566	120	235	935	999	419	570	882
g2252	2	3	17	10	2	0	0	0	2	0	4	0	17	6494	157	17
g2253	70	1821	5285	165	2202	2177	20	994	2460	25	377	1859	17	7	46	97
g2254	4	2	0	0	0	2	2	2	3	0	2	8	9	0	4	7
g2255	116	381	378	362	495	252	200	432	249	165	142	311	341	150	322	376
g2256	62	36	94	103	39	77	6	25	75	14	46	74	184	8	55	65
g2257	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0
g2258	0	6	4	0	0	7	0	2	5	0	6	12	16	2	2	8
g2259	0	0	0	0	2	4	0	0	3	0	2	0	2	4	4	0
g2260	20	69	57	45	63	39	14	88	57	9	19	32	115	20	32	94
g2261	2	0	0	2	4	0	2	0	0	4	0	2	6	2	8	6
